long,lat,elevation,slope_005,slope_005_02,slope_02_05,slope_05_10,slope_10_15,slope_15_30,slope_30_45,slope_45,aspect_north,aspect_east,aspect_south,aspect_west,water_land,barren_land,urban_land,grass_land,forest_land,partial_cultivated_land,irrigated_land,cultivated_land,nutrient,rooting,oxygen,excess_salts,toxicity,workability,fips
-124.3,40.3,245,0.0055,0.0394,0.055,0.0597,0.0676,0.2668,0.3008,0.2052,0.2767,0.2257,0.2066,0.2461,56.0,0.0,0.0,8.49260330200195,35.507396697998,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.3,40.4,376,0.0008,0.0093,0.0296,0.0504,0.0684,0.3186,0.3944,0.1285,0.2009,0.213,0.3287,0.2473,0.0,0.0,0.142599999904633,17.6644477844238,80.6919937133789,1.50012397766113,0.000835390528663993,1.5009593963623,2,1,1,1,1,1,6023
-124.3,40.5,337,0.0006,0.0041,0.0173,0.0414,0.0645,0.4615,0.3722,0.0384,0.2533,0.2237,0.2724,0.2459,0.0,0.0,0.0828999951481819,26.2140293121338,73.7030715942383,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.3,40.6,230,0.0052,0.0302,0.0263,0.0531,0.0893,0.5481,0.2193,0.0285,0.4102,0.1907,0.1276,0.2361,0.0,0.0,0.0178812704980373,17.0436515808105,82.9380493164063,0.0,0.00041872970177792,0.00041872970177792,2,1,1,1,1,1,6023
-124.2,40.2,608,0.0,0.0002,0.0013,0.0056,0.0096,0.0909,0.1785,0.3967,0.1046,0.1513,0.1946,0.2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6023
-124.2,40.3,492,0.0004,0.001,0.0047,0.0177,0.0385,0.3127,0.4521,0.1729,0.1392,0.2524,0.2832,0.3238,0.0,0.0,0.142299994826317,13.3825874328613,86.4751129150391,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.2,40.4,667,0.0,0.0008,0.0067,0.0175,0.0308,0.2549,0.4799,0.2094,0.2383,0.2815,0.2146,0.2648,0.0,0.0,0.0152999991551042,20.4816627502441,79.5030364990234,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.2,40.5,298,0.0019,0.0138,0.0297,0.0516,0.072,0.4435,0.32,0.0675,0.2596,0.3225,0.1298,0.2724,0.0,0.0,0.0,12.1419525146484,87.8580474853516,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.2,40.6,63,0.0346,0.2055,0.2241,0.1407,0.078,0.216,0.0831,0.018,0.2626,0.1247,0.1801,0.1925,0.0,0.0,0.615403771400452,11.5139455795288,87.6650543212891,0.0,0.205596193671227,0.205596193671227,2,1,1,1,1,1,6023
-124.2,40.7,212,0.0045,0.0449,0.0527,0.0868,0.121,0.5052,0.1758,0.0091,0.2158,0.1445,0.2682,0.3221,0.0,0.0,0.0,18.7330093383789,54.712589263916,1.17256164550781,25.3818397521973,26.5544013977051,2,1,1,1,1,1,6023
-124.2,40.8,12,0.0375,0.2736,0.2927,0.1452,0.0954,0.1473,0.0083,0.0,0.1888,0.1797,0.0959,0.2245,0.0,0.0,0.553373634815216,8.89743995666504,90.4554595947266,0.0,0.0937263667583466,0.0937263667583466,2,1,1,1,1,1,6023
-124.2,41.8,119,0.0086,0.0894,0.1776,0.1694,0.1354,0.3158,0.0973,0.0065,0.1804,0.1996,0.1806,0.3414,21.0,0.0,0.202000007033348,7.96711301803589,70.8308868408203,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.2,41.9,73,0.0345,0.1454,0.167,0.1157,0.0619,0.2919,0.1681,0.0155,0.1798,0.1159,0.1758,0.3486,0.0,0.0,0.0,8.64498710632324,87.888916015625,0.0,3.46609711647034,3.46609711647034,2,1,1,1,1,1,6015
-124.1,40.1,483,0.0,0.0026,0.0126,0.0286,0.0431,0.1966,0.3107,0.2111,0.1384,0.1615,0.1858,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6023
-124.1,40.2,427,0.0,0.002,0.0123,0.0443,0.0601,0.3255,0.3758,0.18,0.2359,0.3398,0.2257,0.1966,18.0,0.0,0.133399993181229,7.33147430419922,74.5351257324219,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.1,40.3,559,0.0,0.0016,0.0041,0.02,0.0395,0.29,0.4686,0.1762,0.2421,0.318,0.2048,0.2335,0.0,0.0,0.148499995470047,11.7193355560303,88.1321640014648,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.1,40.4,518,0.0,0.0019,0.0069,0.032,0.0531,0.3704,0.3988,0.1369,0.1993,0.3432,0.277,0.1786,0.0,0.0,0.00150000001303852,8.95525646209717,91.0432434082031,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.1,40.5,255,0.0017,0.0149,0.0354,0.0531,0.0594,0.3116,0.408,0.1159,0.3066,0.2538,0.2169,0.2061,0.0,0.0,0.00300000002607703,8.95512199401855,91.041877746582,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.1,40.6,176,0.0102,0.079,0.0869,0.0807,0.0838,0.3687,0.2363,0.0544,0.2054,0.1699,0.2667,0.2688,0.0,0.0,0.0,8.94747543334961,90.9641723632813,0.0,0.0883519500494003,0.0883519500494003,2,1,1,1,1,1,6023
-124.1,40.7,459,0.0002,0.0029,0.0186,0.0808,0.1305,0.5955,0.1603,0.0112,0.2721,0.2409,0.2132,0.2707,0.0,0.0,0.0,14.3898134231567,75.4491119384766,0.611993789672852,9.54908084869385,10.1610746383667,2,1,1,1,1,1,6023
-124.1,40.8,183,0.0016,0.0164,0.0316,0.0846,0.1545,0.5946,0.1053,0.0114,0.2263,0.1267,0.1935,0.4355,0.0,0.0,0.103799998760223,8.94609642028809,90.9501037597656,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.1,40.9,80,0.0206,0.1243,0.1157,0.1495,0.1618,0.3394,0.0806,0.0081,0.2207,0.1677,0.1683,0.2984,0.0,0.0,0.0,8.80770969390869,89.5432739257813,1.19209289550781e-07,1.64901602268219,1.64901614189148,2,1,1,1,1,1,6023
-124.1,41.0,119,0.0021,0.0357,0.1422,0.255,0.1979,0.3319,0.0327,0.0025,0.1435,0.192,0.2157,0.411,3.2761344909668,0.0,0.0,8.17280864715576,83.0885009765625,0.0,5.46255588531494,5.46255588531494,2,1,1,1,1,1,6023
-124.1,41.1,239,0.0006,0.0144,0.0589,0.1306,0.1618,0.5118,0.1158,0.0061,0.2041,0.2136,0.2671,0.3002,0.0,0.0,0.366830676794052,8.85787773132324,90.05322265625,0.0,0.722069323062897,0.722069323062897,2,1,1,1,1,1,6023
-124.1,41.2,305,0.0004,0.0056,0.0292,0.1019,0.1915,0.541,0.1227,0.0077,0.1847,0.1601,0.2906,0.3586,0.0,0.0,0.139488875865936,8.9414701461792,90.9031295776367,0.0,0.0159111209213734,0.0159111209213734,2,1,1,1,1,1,6023
-124.1,41.6,145,0.0029,0.0375,0.0695,0.0671,0.0554,0.2846,0.3139,0.1337,0.2455,0.203,0.2209,0.2548,14.0,0.0,0.221799999475479,8.64133167266846,75.1627655029297,1.97410309314728,0.0,1.97410309314728,2,1,1,1,1,1,6015
-124.1,41.7,322,0.0001,0.0014,0.0103,0.0302,0.0574,0.2977,0.3487,0.2542,0.2028,0.2386,0.2447,0.3124,0.0,0.0,0.122757077217102,8.12507247924805,90.0647277832031,0.0,1.68744301795959,1.68744301795959,2,1,1,1,1,1,6015
-124.1,41.8,339,0.0007,0.0077,0.0292,0.0916,0.1066,0.3084,0.2507,0.2051,0.2362,0.23,0.228,0.2974,0.0,0.0,0.234599992632866,8.93438339233398,90.8310165405273,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.1,41.9,493,0.0002,0.0058,0.0387,0.0951,0.1223,0.3595,0.2569,0.1215,0.1783,0.2433,0.2495,0.3229,0.0,0.0,0.175499990582466,8.93967342376709,90.8848266601563,0.0,0.0,0.0,2,1,1,1,1,1,6015
-124.0,40.0,423,0.0002,0.0024,0.0106,0.033,0.0579,0.274,0.233,0.1101,0.1284,0.1768,0.1843,0.2291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6045
-124.0,40.1,398,0.0007,0.0073,0.0311,0.0755,0.1022,0.455,0.2839,0.0443,0.2308,0.2874,0.224,0.2498,25.0,0.0,0.107600003480911,7.01038837432861,67.8820114135742,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,40.2,359,0.0003,0.0034,0.0185,0.058,0.1002,0.5354,0.2712,0.013,0.1975,0.2312,0.2662,0.3014,0.0,0.0,0.345991879701614,8.92438411712646,90.7294158935547,0.0,0.00020807990222238,0.00020807990222238,2,1,1,1,1,1,6023
-124.0,40.3,552,0.0002,0.0008,0.0061,0.0258,0.0532,0.4277,0.3853,0.1009,0.2671,0.3034,0.2068,0.2217,0.0,0.0,0.145999997854233,13.371410369873,86.4825897216797,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,40.4,238,0.0008,0.0095,0.0396,0.0627,0.0838,0.4409,0.2939,0.0688,0.2527,0.3073,0.181,0.2487,0.0,0.0,0.0,8.9549732208252,91.0446090698242,0.0,0.000417695206124336,0.000417695206124336,2,1,1,1,1,1,6023
-124.0,40.5,197,0.0054,0.0327,0.0663,0.0949,0.0888,0.3614,0.2991,0.0514,0.2431,0.1785,0.2815,0.2588,0.0,0.0,0.0,8.94572830200195,90.9463729858398,7.45058059692383e-09,0.107898503541946,0.107898510992527,2,1,1,1,1,1,6023
-124.0,40.6,380,0.0005,0.0053,0.0215,0.0519,0.0838,0.5358,0.2671,0.0341,0.2706,0.1592,0.3067,0.2577,0.0,0.0,0.0,8.8937873840332,90.418327331543,0.0,0.687884926795959,0.687884926795959,2,1,1,1,1,1,6023
-124.0,40.7,471,0.0001,0.0021,0.0128,0.041,0.0767,0.533,0.2844,0.0499,0.2207,0.2422,0.2203,0.3146,0.0,0.0,0.0751999989151955,8.94865703582764,90.9761428833008,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,40.8,403,0.0002,0.0019,0.012,0.0478,0.0863,0.4572,0.2824,0.1122,0.3332,0.281,0.1859,0.1978,0.0,0.0,0.0496999956667423,10.1648693084717,89.7854309082031,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,40.9,218,0.0062,0.0436,0.0519,0.0736,0.1329,0.4841,0.1853,0.0224,0.153,0.1523,0.2837,0.3612,0.0,0.0,0.0189165212213993,8.95231819152832,91.0133819580078,0.0,0.015383480116725,0.015383480116725,2,1,1,1,1,1,6023
-124.0,41.0,422,0.0001,0.0029,0.0171,0.0663,0.1241,0.5694,0.2072,0.0129,0.1671,0.2325,0.2023,0.3951,0.0,0.0,0.26492103934288,8.893141746521,90.4117584228516,0.0,0.430178999900818,0.430178999900818,2,1,1,1,1,1,6023
-124.0,41.1,444,0.0001,0.0028,0.022,0.0798,0.1442,0.4985,0.2302,0.0224,0.2302,0.1965,0.2337,0.3367,0.0,0.0,0.0102999992668629,8.9544677734375,91.0352325439453,0.0,0.0,0.0,2,1,1,1,1,1,6023
-124.0,41.2,498,0.0,0.0017,0.0118,0.039,0.0677,0.4345,0.3931,0.0522,0.208,0.3408,0.1753,0.2742,0.0,0.0,0.00970000028610229,9.86496448516846,90.1253356933594,0.0,0.0,0.0,2,1,1,1,1,1,6023
